tokid	cws
vernield/hart038besc01_01.meta/171505	plantagiën;behalve
vernielen/sucq002wech01_01.meta/176494	bedroeft;bederven;christi
vernielen/hond001dape02_01.meta/98213	
vernietigd/vond001dewe05_01.meta/26465	
vernielen/coor001vree01_01.meta/85689	sulcken;selve;sulcks
vernielt/post003rein01_01.meta/26167	oogenblik
vernietige/viss002jawo01_01.meta/128300	yet;will;testament;leste
vernielt/_den001denk03_01.meta/14845	
vernietigd/stij003opko01_01.meta/89027	nieuws;werden;schulden
vernielen/coor001heme02_01.meta/62076	sulcke;overwinnen;heure
vernield/bruy004reiz03_01.meta/35546	vorsten;wraak
vernietigen/_den001denk02_01.meta/46746	hoed;verdiensten
vernielen/vond001dewe05_01.meta/257434	boort
vernielt/vond001dewe05_01.meta/101233	maght;heur
vernietigd/viss002jawo01_01.meta/19395	bevinden;papieren;tesselschade;voornemen
vernielen/woen003lant04_01.meta/25052	partij;treeden
vernielen/coor001vand08_01.meta/3743	bestaen;sulcke;ghemerckt;quade
vernielt/coor001vree01_01.meta/25756	voorschreven
vernielen/post003rein01_01.meta/11316	bewaaren;duizend
vernield/hart038besc01_01.meta/315382	joodsche;gantsche
vernietigen/weye002amst02_01.meta/63544	derzelve;feilen
vernielt/vond001dewe08_01.meta/421367	eige
vernielen/coor001godt02_01.meta/16886	breken
vernielen/hoof001hwva03_01.meta/369299	leger
vernielen/hart038besc01_01.meta/158901	geschut;brand
vernielen/post003land04_01.meta/74043	alles;oorlogen;duizend;veranderingen;ongelukkigen
vernietigd/hart038besc01_01.meta/94136	schuld;millioenen;gelden;dertig;ruim;somme
vernietig/vond001dewe08_01.meta/244416	
vernietigt/_den001denk03_01.meta/12396	wetten
vernietigde/vond001dewe09_01.meta/375395	heilige;vergelijk
vernielt/vond001dewe04_01.meta/202793	worde
vernietight/vond001dewe04_01.meta/463527	wet;nieuwe
vernielen/orle001besc01_01.meta/61792	spaensche
vernietigen/vond001dewe10_01.meta/249233	grotius
vernielen/vond001dewe05_01.meta/307631	twyfel
vernietigt/_den001denk04_01.meta/78779	verdeeld;werden;geenzins
vernietigt/vond001dewe08_01.meta/412319	neigingen
vernietigen/vond001dewe06_01.meta/112364	gront
vernietigd/smee001besc01_01.meta/100306	brengt
vernielen/vond001dewe08_01.meta/292205	knecht
vernietigt/post003rein01_01.meta/28475	ontdekte;schept;geheim;werd
vernietigen/effe001holl05_01.meta/14060	geschieden;teffens;zonder
vernielen/vrie047wond01_01.meta/319841	
vernietigen/wolf016corn06_01.meta/45160	beeld
vernielen/hond001dape02_01.meta/21129	selven;vereeren;dese
vernietigde/vond001dewe10_01.meta/317304	karel
vernietigd/hart038besc01_01.meta/108993	compagnie;nieuwe
vernietigde/vond001dewe09_01.meta/68267	plan
vernielen/coor001vree01_01.meta/76212	
vernielen/vond001dewe04_01.meta/152375	slang;yeder
vernietig/kink001post01_01.meta/94300	uitdrukkingen
vernielen/vond001dewe01_01.meta/159171	lam
vernielen/ferm001nieu01_01.meta/78097	
vernielde/hart038besc01_01.meta/304674	negers
vernielt/brun002wets01_01.meta/113728	onderworpen
vernietigen/hoof001hwva03_01.meta/53628	diamant;huygens
vernielen/sude003godl01_01.meta/9503	goeder;schip
vernielen/vond001dewe09_01.meta/302724	altaer
vernietigt/weye002ontl01_01.meta/122678	
verniel/vond001dewe08_01.meta/176594	
vernietigd/wolf016will02_01.meta/13563	traanen;hoop;zonder;zuchten
vernielt/vond001dewe08_01.meta/293947	verkeerde
vernielen/coor001vand08_01.meta/17527	desen
vernietigen/_den001denk03_01.meta/113922	beeld;eener;eeuwig;steeken
vernielt/sucq002wech01_01.meta/52711	selve;brenght;sonde
vernielen/lair001groo01_01.meta/66398	geduurige;werking
vernietigen/_den001denk05_01.meta/129152	werpen;hoedanigheden;hoofde
vernielen/kist001leve01_01.meta/38051	
vernietigden/kist001leve01_01.meta/23311	kerken;tekenen;geworpen
vernielen/vond001dewe05_01.meta/466024	vyant;vernielen
vernietigen/vond001dewe05_01.meta/33417	breken
vernielen/vond001dewe09_01.meta/417067	zwaert;vellen
vernielen/vond001dewe05_01.meta/118103	vreesde;onbekent;zocht
vernielen/vond001dewe10_01.meta/264306	edipus
vernielen/coor001vand08_01.meta/3681	
vernietigd/_den001denk03_01.meta/37105	betreft;geluk;ramp
vernietigt/enge013bloe01_01.meta/45110	bijzonder;weelde
vernield/mart021kate01_01.meta/236464	
vernielt/vond001dewe05_01.meta/355571	athene;pallas;gewelt
vernielt/hart038besc01_01.meta/189512	wachten;plantagiën
vernielde/post003land04_01.meta/73289	steden;bergen
vernietigd/bruy004reiz03_01.meta/69093	gewoonte;gelooven
vernield/bruy004reiz03_01.meta/16802	
vernietigt/stij003opko01_01.meta/112241	top;waardigheid;voert;dezelve
vernietigen/duij002leve01_01.meta/65806	sin;sulcks
vernietigen/vond001dewe06_01.meta/35899	
vernietigd/vond001dewe04_01.meta/91675	evenals
vernielt/coor001vand05_01.meta/53563	t
vernietigde/vond001dewe05_01.meta/46928	
vernietigd/vond001dewe08_01.meta/275475	gansch
vernielt/coor001vree01_01.meta/68553	desen;dese
vernietigen/post003rein01_01.meta/192521	zoek;zoudt;scheppen;zoeken
vernielen/_den001denk12_01.meta/1361	last;wooning;nuttige;stoot
vernielt/_den001denk04_01.meta/100010	schepselen
vernielt/coor001vand07_01.meta/18645	
vernielt/vond001dewe04_01.meta/155192	maeghden;roof
vernield/post003rein01_01.meta/88528	onschuldig
vernietigd/swel004brie01_01.meta/132003	don;huwelijk
vernielen/woen003lant03_01.meta/40666	
vernielen/effe001holl04_01.meta/27521	gelieft;voldoen;vuur
vernielt/coor001vree01_01.meta/61844	desen
vernielen/vond001dewe07_01.meta/148376	gront;brant
vernielen/post003rein01_01.meta/30933	goedheid;pijl
verniele/vond001dewe10_01.meta/260370	verwen;scherpe
vernield/wolf016will01_01.meta/49858	uws;neiging
vernield/stij003opko01_01.meta/31278	schepen;vloot
vernield/viss002jawo01_01.meta/71017	vorige;paleis;wee
vernietigt/bont009gebr01_01.meta/22406	sout;thee;contrarie;word
vernielen/post003rein01_01.meta/255431	stormen;blijf
vernielen/coor001toet02_01.meta/22157	macht;vyanden
vernietigd/vond001dewe09_01.meta/245644	wèl
vernielt/ferm001nieu01_01.meta/146535	duizenden;voorschyn
vernielen/coor001vand06_01.meta/7715	dooden;levendigh;maecken;quade;t;henluyden
vernietigde/vond001dewe09_01.meta/164056	
vernietigen/vond001dewe06_01.meta/261969	speer;vernielen
vernietigen/vond001dewe06_01.meta/552502	dwingen
vernietigen/effe001holl03_01.meta/76508	hartstogten
vernietigen/hoff002fbul01_01.meta/17797	wederom;daaruit;vaerzen;poëzy;word
vernietigen/stij003opko01_01.meta/113087	magt;kragten
vernield/hart038besc01_01.meta/163508	gebouwen;vonden;stand;maaltyd
vernielen/swaa003herb01_01.meta/133201	geplant;vlammen;zouw
vernielt/vond001dewe09_01.meta/268185	pest;oorlogh
vernietigt/duij002leve01_01.meta/97419	wezen;ziel
vernielt/vond001dewe05_01.meta/367803	bloem;felle
vernielen/woen003aant01_01.meta/53701	onkunde;gansche
vernielen/hond001dape02_01.meta/81451	doot;zielen;strijt
vernietigen/vond001dewe09_01.meta/381446	deught
vernietigd/vond001dewe08_01.meta/155838	ingang;verslagen;bijna;geheel
vernietigd/vrie047wond01_01.meta/396877	
vernieticht/cats001houw01_01.meta/247251	doot;geheel
vernielen/hond001dape02_01.meta/99473	vant
vernielde/mart021kate01_01.meta/168904	duizend
vernietigd/vond001dewe07_01.meta/221771	
vernietigd/effe001holl06_01.meta/48998	verschenen;meen;redenen
vernield/weye002amst01_01.meta/98800	
vernielt/vond001dewe01_01.meta/54065	waart;ontleend
vernield/post003land04_01.meta/21799	verderf;eerlang
vernield/hart038besc01_01.meta/90657	
vernietigen/vond001dewe08_01.meta/258441	
vernietigen/weye002amst02_01.meta/25349	wet
vernield/post003land04_01.meta/65716	veranderingen
vernietigt/weye002amst01_01.meta/87979	bestaat;genade
vernielt/vond001dewe07_01.meta/146696	streven
vernield/vond001dewe08_01.meta/156501	voren
vernielen/sucq002wech01_01.meta/47672	
vernielen/coor001vree01_01.meta/54015	dese;ghyluyden;gantsch;verstaet
vernielen/sucq002wech01_01.meta/78845	
vernielden/vond001dewe05_01.meta/247919	eige
vernielen/ferm001nieu01_01.meta/104730	visschen
vernield/hart038besc01_01.meta/161991	gouverneur;vermids;ontslagen
vernielt/coor001heme02_01.meta/28604	merckt;self
vernietigt/post003rein01_01.meta/199355	magt;kroost
vernielen/vond001dewe06_01.meta/612538	poort
vernielt/swaa003kodd01_01.meta/27708	bosschen;scheepen
vernielen/swaa003herb01_01.meta/159591	alles
vernielt/elge001zinn01_01.meta/82100	gelyck;zaet;geworpen;worm
vernietigd/vond001dewe05_01.meta/199023	altaer;blixem
vernield/rust001scho01_01.meta/20669	poorten;wal
vernietigt/vond001aenl01_01.meta/22423	zeden;luister;haalt
vernielt/_den001denk08_01.meta/53957	gebouw;tyde;onzes
vernietigen/viss002jawo01_01.meta/129052	
vernietigen/_alg004alge01_01.meta/55907	wederom
vernietight/bran002leve02_01.meta/15445	rugh
vernietigt/post003rein01_01.meta/82052	geluk
vernielt/poir001jsal01_01.meta/113823	sneeuw
vernietigen/pist002kort01_01.meta/55404	rebellen;aangedaan
vernietigt/vond001dewe01_01.meta/211078	
vernietigd/hart038besc01_01.meta/99257	jaare;compagnie;betrekking;nieuwe
vernielt/swaa003herb01_01.meta/152949	gelyken
vernielen/kink001post01_01.meta/82269	lugt;vlugt
vernielen/_den001denk08_01.meta/22075	voortaan
vernietigt/duij002leve01_01.meta/14873	heilige;wert;goddelyke
vernielen/pist002kort01_01.meta/28728	vogt;bek;scherpe
vernietigt/effe001holl04_01.meta/29302	vrede
vernielen/vond001dewe08_01.meta/329258	vloot
vernietigen/feit007brie05_01.meta/42057	verbetering;geduurig;eindelijk;genot;geheel
verniele/_bel005bely02_01.meta/1050	gebouw;gantsche;inwendig
vernietigen/_den001denk04_01.meta/133317	natuur;denkbeeld;verkeeren;koophandel
vernield/hart038besc01_01.meta/206734	allengs;plantagiën;onschuldig
vernietigd/vond001dewe09_01.meta/230037	godtheit
vernielt/coor001godt02_01.meta/21241	7
vernietigt/vond001dewe09_01.meta/38849	kans
vernielen/vond001dewe09_01.meta/122523	worm
vernielen/vond001dewe06_01.meta/102186	oogst;verlaten
vernietigd/mart021kate01_01.meta/17504	beiden;werden;verliezen
vernield/hart038besc01_01.meta/335281	huizen;korten
vernielen/coor001vand05_01.meta/18734	onnut;maecken;ghenade;christi
vernietigt/duij002leve01_01.meta/121989	ligchaam;deelen;geheel
vernield/bruy004reiz03_01.meta/177237	t
vernietigd/_den001denk02_01.meta/148979	hartstogten;ziel;aandoeningen
vernietigen/lair001groo01_01.meta/59821	beelden;gramschap;eigenschap
vernietigt/post003rein01_01.meta/123925	natuur;haarer;graf;schoonste
vernielen/vond001dewe06_01.meta/196306	stucken
vernietigt/feit007juli01_01.meta/45247	diensten;mens
vernietigen/vond001dewe08_01.meta/449293	kunt;gramschap;nimmer
vernielden/vond001dewe07_01.meta/447783	onderling
vernielen/rust001scho01_01.meta/22600	gebergte;vee
vernield/hoof001hwva03_01.meta/160671	
vernield/vond001dewe06_01.meta/223766	overwinnen
vernielt/rust001scho01_01.meta/16767	verstrekken;reets;volks;gants
vernietigen/_ges021gesc01_01.meta/23349	dikwyls;vorsten;onheil
vernielen/mart021kate01_01.meta/201107	naamelyk
vernield/rust001scho01_01.meta/7330	verwoest;verdorven
vernietigt/vond001dewe05_01.meta/367826	
vernielt/coor001dato02_01.meta/9085	wortelen
vernietigd/lair001groo01_01.meta/188122	dezelve;werd;order
vernielen/vond001dewe10_01.meta/2693	vloot
vernielt/rust001scho01_01.meta/75994	all;schip
vernietigde/vond001dewe01_01.meta/200996	rijk;griekse
vernietigt/brun002wets01_01.meta/28160	hoogste;verdienen
vernietigd/_den001denk03_01.meta/23765	egter;dezelve;harten;geheel
vernield/bruy004reiz03_01.meta/34672	
vernielen/vond001dewe01_01.meta/83292	
vernietigd/woen003lant02_01.meta/49073	compagnie;daarenboven;nieuwe;geheel
vernielen/post003rein01_01.meta/109329	tijds
vernielen/coor001heme02_01.meta/63256	dooden;sonde
vernielen/sucq002wech01_01.meta/105325	
vernietigd/post003rein01_01.meta/252504	dood;denzelfden;werd;stak;ramp
vernielen/woen003aant01_01.meta/111187	elkander
vernielen/ferm001nieu01_01.meta/147937	bloem;gemeenlyk
vernielt/coor001oogh01_01.meta/7709	kercken
vernielen/swaa003kodd01_01.meta/91188	baaren
vernielt/wolf016will03_01.meta/14990	ey
vernietigd/vond001dewe04_01.meta/139255	held
vernielt/post003rein01_01.meta/32869	steden
vernield/vond001dewe06_01.meta/572528	
vernietigden/wolf016corn01_01.meta/10919	algemene;juist;have;schulden
vernielen/coor001toet02_01.meta/28781	
vernielt/coor001ladd02_01.meta/27233	sonde
vernielt/sucq002wech01_01.meta/365856	bedacht
vernielen/post003rein01_01.meta/103793	ouderdom
vernielde/hart038besc01_01.meta/198281	gebouwen;behalve;slaan;stonden
vernielen/_hae008haer01_01.meta/69715	schepen
vernielen/woen003aant01_01.meta/111222	
vernietigd/stij003opko01_01.meta/11419	deelen;schulden;gelyke
vernielen/_den001denk02_01.meta/63462	snoode;gemeenlyk;poogen;ondeugden
vernielen/woen003lant01_01.meta/46341	
vernielen/vond001dewe09_01.meta/403141	zielen
vernietigen/vond001dewe07_01.meta/180921	knechten
vernielen/_den001denk05_01.meta/100952	
vernielt/bell002proe01_01.meta/40750	heir
vernielen/vond001dewe04_01.meta/251088	kunt;lichaam
